,demo_id,demo_round_id,round_start_tick,weapon_fire_id,team,detonation_raw_x,detonation_raw_y,detonation_raw_z,throw_from_raw_x,throw_from_raw_y,throw_from_raw_z,throw_tick,detonation_tick,LABEL,TYPE,map_name
0,766,40468,231253,5719283,T,-801.693,-312.802,-165.62099999999998,1422.9365234375,-367.96875,-167.96875,1968,2982.0,True,smoke,de_mirage
1,752,40436,292883,5714109,CT,370.477,-1496.46,-173.96900000000002,815.463134765625,-1497.30090332031,-108.96875,4325,5025.0,True,smoke,de_mirage
2,5564,54655,113811,7771030,CT,-546.781,-494.96,-165.96900000000002,-973.8507690429691,291.751495361328,-167.316558837891,9204,9488.0,True,smoke,de_mirage
3,5453,51799,155382,7376468,T,-943.044,-2474.6,-97.9688,-31.916996002197298,-1418.0012207031198,-163.396575927734,5620,5896.0,True,molotov,de_mirage
4,643,42230,533591,5981012,T,274.534,-1471.61,-127.512,-621.03125,-1996.9357910156198,-179.96875,2860,3084.0,True,flashbang,de_mirage
5,676,42337,179545,5999697,T,57.7904,-2278.34,-37.9688,-529.852600097656,-1462.8371582031198,-58.4902534484863,2934,3272.0,True,smoke,de_mirage
6,4244,31291,390403,4360489,CT,-229.78099999999998,-505.952,-165.234,1422.908203125,70.96875,-112.90266418456999,1841,2539.0,True,smoke,de_mirage
7,643,42231,544400,5981247,CT,-53.7275,-1840.27,-165.96900000000002,214.785736083984,-1496.85986328125,-175.96875,7453,7675.0,True,molotov,de_mirage
8,5564,54656,125391,7771062,CT,-724.062,-990.055,-215.96900000000002,-601.996765136719,-1324.91479492188,-167.96875,8336,8416.0,True,smoke,de_mirage
9,5649,57020,591119,8103312,CT,207.415,759.3560000000001,-133.969,-575.189880371094,572.170715332031,-81.671875,4929,5213.0,True,smoke,de_mirage
10,5564,54649,34232,7770331,T,-864.712,-568.785,-261.969,1422.96875,-367.954284667969,-156.904525756836,2112,3148.0,False,smoke,de_mirage
11,5453,51802,191752,7376898,CT,-821.712,-2405.29,-169.96900000000002,152.935958862305,-1671.99072265625,-167.96875,12720,12972.0,True,molotov,de_mirage
12,5375,49664,387684,7074547,CT,-1246.82,-1337.35,-174.37400000000002,-334.500091552734,-1746.2473144531198,-167.96875,6394,6642.0,False,smoke,de_mirage
13,5448,51681,294216,7359904,CT,-1547.52,617.884,411.25300000000004,-339.85980224609403,568.968444824219,-79.9796676635742,3746,3970.0,True,flashbang,de_mirage
14,5448,51680,284252,7359860,CT,-1169.67,-620.862,-165.96900000000002,-45.001155853271506,-447.222991943359,-167.812744140625,5289,5679.0,True,smoke,de_mirage
15,5375,49656,259569,7073467,T,-599.929,-415.319,-11.7287,-1050.37145996094,264.776214599609,-170.326904296875,9200,9424.0,True,flashbang,de_mirage
16,5375,49665,396573,7074676,CT,488.46,-1640.66,-261.969,-336.91339111328097,-2277.17236328125,-167.96875,10389,10961.0,True,smoke,de_mirage
17,5506,53115,377890,7561323,T,-594.3919999999999,-1120.02,-181.96900000000002,-715.405029296875,-1318.14282226562,-167.96875,2916,3198.0,False,smoke,de_mirage
18,5375,49644,108244,7071823,CT,64.8982,-1099.33,368.719,-885.0075073242191,-2332.01440429688,-167.96875,2578,2804.0,False,flashbang,de_mirage
19,5454,51834,225957,7381466,CT,-1228.71,-647.6419999999999,-167.96900000000002,-1120.00378417969,-456.016937255859,-167.96875,7504,7556.0,True,smoke,de_mirage
20,5564,54672,308715,7773062,CT,-1221.63,-558.623,-165.96900000000002,440.1376953125,-674.806945800781,-159.96875,9788,10048.0,True,molotov,de_mirage
21,5375,49651,198647,7072795,CT,-1992.96,391.909,369.685,-2345.58203125,526.2091064453119,-165.71875,8052,8276.0,False,flashbang,de_mirage
22,5506,53096,112086,7558890,T,257.464,-1481.4,-173.96900000000002,-577.081726074219,-2355.39965820312,-169.403396606445,8619,8929.0,True,smoke,de_mirage
23,5453,51791,43300,7375356,T,348.344,-1510.56,-191.137,-879.979858398438,-2263.99609375,-171.08805847168,2548,3012.0,True,smoke,de_mirage
24,5453,51795,100763,7375897,T,-2205.66,178.662,31.2593,-1540.49743652344,741.4035034179691,-47.96875,6152,6292.0,True,molotov,de_mirage
25,5375,49665,396573,7074640,T,-980.915,-527.918,-285.969,1387.08654785156,-82.342658996582,-153.288803100586,7788,8465.0,True,smoke,de_mirage
26,5506,53112,331281,7561046,CT,2.11369,-2318.76,-37.9688,-754.2817993164059,-1333.83166503906,-167.96875,6672,7060.0,True,smoke,de_mirage
27,5649,56983,20865,8098155,CT,613.955,-1709.03,-259.605,-341.69500732421903,-1956.6042480468802,-172.857238769531,7530,7996.0,False,smoke,de_mirage
28,5375,49658,291818,7073680,T,-547.927,-478.684,335.964,613.88232421875,591.197326660156,-126.703804016113,3048,3270.0,True,flashbang,de_mirage
29,5375,49656,259569,7073405,CT,4.01768,-897.2189999999999,447.223,-553.06201171875,-2309.68383789062,-165.261489868164,2798,3022.0,True,flashbang,de_mirage
30,5506,53093,54421,7558326,CT,558.336,-446.699,186.09,217.45286560058602,247.22752380371102,-255.96875,2783,3005.0,True,flashbang,de_mirage
31,5506,53109,287604,7560538,T,-696.29,-654.8480000000001,-269.668,-780.400146484375,-1479.24377441406,-167.96875,3430,3738.0,False,smoke,de_mirage
32,5648,56958,102693,8094476,T,-1328.29,723.258,-68.8469,-2051.9609375,783.9795532226559,-47.96875,6144,6368.0,True,flashbang,de_mirage
33,5564,54661,177632,7771719,CT,-445.939,-2033.62,-177.97,95.73855590820308,-1933.33203125,-167.96875,9692,9952.0,True,smoke,de_mirage
34,5448,51675,211856,7359069,CT,-2356.68,-257.871,-165.96900000000002,-1622.06164550781,-41.63624954223629,-168.940780639648,5321,5443.0,False,molotov,de_mirage
35,643,42187,12283,5974266,T,-1944.15,-343.76300000000003,-165.96900000000002,-160.03125,887.993408203125,-133.018112182617,3523,4561.0,True,smoke,de_mirage
36,5649,56999,282815,8100264,T,-1142.25,-629.259,-165.97400000000002,1388.4309082031198,26.668136596679698,-165.633834838867,2952,3782.0,True,smoke,de_mirage
37,5564,54656,125391,7771114,T,-1936.25,-221.838,-165.96900000000002,-2056.28442382812,426.95166015625,-159.96875,12312,12576.0,True,smoke,de_mirage
38,5454,51834,225957,7381444,T,-206.517,-506.996,-165.993,1422.91943359375,-248.03125,-167.96875,6028,6756.0,False,smoke,de_mirage
39,5564,54671,289960,7772938,T,273.263,-1515.85,-173.96900000000002,39.3719711303711,-1717.96875,-167.96875,4352,4560.0,True,smoke,de_mirage
40,5648,56958,102693,8094559,T,-370.14300000000003,-1570.98,-48.2275,-293.320922851562,-1643.8083496093802,-167.96875,9926,10148.0,True,flashbang,de_mirage
41,752,40440,331797,5714632,T,-236.166,-501.31199999999995,-165.297,1422.9870605468802,70.9999237060547,-112.90266418456999,1764,2490.0,True,smoke,de_mirage
42,752,40436,292883,5714103,CT,-914.118,-2410.02,-165.96900000000002,1258.34020996094,-871.96875,-143.96875,3895,4723.0,False,smoke,de_mirage
43,5453,51789,21350,7375116,T,280.01,383.02099999999996,164.649,1004.15380859375,594.05810546875,-258.97216796875,5623,5843.0,True,flashbang,de_mirage
44,5506,53096,112086,7558893,CT,-994.659,-1476.48,-165.96900000000002,422.77853393554705,350.823089599609,-247.396575927734,9789,10643.0,True,smoke,de_mirage
45,5649,57010,449013,8102139,T,-934.9730000000001,-2459.65,-97.9688,-31.9170360565186,-1418.00036621094,-163.396575927734,4651,4925.0,True,molotov,de_mirage
46,5375,49660,330540,7073975,T,237.449,-1544.2,-173.96900000000002,-877.8928833007809,-2262.9814453125,-171.31233215332,7046,7464.0,True,smoke,de_mirage
47,5375,49658,291818,7073799,T,-1218.12,-1238.93,-151.592,-1023.5206298828099,-1418.24267578125,-168.29557800293,15248,15474.0,True,flashbang,de_mirage
48,651,42557,311238,6034118,T,-728.9739999999999,-1538.79,-30.0423,443.459564208984,-1589.87390136719,-233.694854736328,7024,7250.0,True,flashbang,de_mirage
49,5375,49656,259569,7073409,T,-474.52099999999996,-360.642,198.102,638.73095703125,629.607971191406,-133.658248901367,3208,3434.0,False,flashbang,de_mirage
50,5454,51831,198874,7381059,CT,-719.1260000000001,-409.07,-168.111,-755.829223632812,292.96875,-163.48747253418,3689,4133.0,True,smoke,de_mirage
51,5375,49656,259569,7073406,CT,-73.1435,-928.2310000000001,411.167,-782.108032226562,-2257.89013671875,-177.59436035156202,2868,3094.0,True,flashbang,de_mirage
